unique_id,status,flowline_action,location_type,fluid,material,diameter_in,length_ft,max_operating_pressure,line_age_yr,elevation,num_points,risk,failure_count
20,Active,Registration,Production Facilities,Other,Fiberglass,3.5,2791.43,100.0,36.26557152635181,1325.969753689236,18,0.0,0
31,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,1.81,60.0,7.953456536618754,2189.7197265625,1,0.0,0
45,Active,Registration,Well Site,Multiphase,Steel,16.0,23072.5,700.0,18.844626967830255,1886.2113605075413,144,1.0,3
91,Active,Registration,Manifold,Natural Gas,Carbon Steel,2.0,137.54,60.0,7.953456536618754,1974.405517578125,1,0.0,0
98,Active,Registration,Manifold,Natural Gas,Carbon Steel,3.0,100.71,60.0,7.953456536618754,2061.796875,1,0.0,0
113,Active,Registration,Manifold,Multiphase,Carbon Steel,2.0,4640.06,80.0,7.827515400410678,1388.2502651872305,29,0.0,0
117,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,3.64,60.0,7.953456536618754,2020.5072021484375,1,0.0,0
145,Active,Registration,Production Facilities,Multiphase,Carbon Steel,3.0,1224.92,3705.0,8.2217659137577,1433.7479705810547,8,0.0,0
177,Active,Registration,Production Facilities,Full Well Stream,Steel,2.0,2814.17,2500.0,7.493497604380561,1503.4457815069902,19,1.0,1
209,Active,Registration,Well Site,Multiphase,Carbon Steel,2.0,3515.38,125.0,12.019164955509925,1414.1122436523438,22,1.0,1
239,Active,Registration,Manifold,Natural Gas,Carbon Steel,12.0,1.24,60.0,7.953456536618754,2134.751220703125,1,0.0,0
259,Active,Registration,Manifold,Natural Gas,Fiberglass,3.0,0.71,60.0,7.953456536618754,2133.72119140625,1,0.0,0
265,Active,Registration,Production Facilities,Co2/Produced Water,Carbon Steel,3.0,428.17,245.0,6.50239561943874,1679.3150024414062,4,1.0,1
312,Out of Service,Abandonment,Production Facilities,Multiphase,Carbon Steel,2.25,4083.8,125.0,16.112251882272417,1594.2239599609375,25,0.0,0
313,Active,Registration,Manifold,Natural Gas,Fiberglass,4.0,2826.92,60.0,7.953456536618754,2205.4183349609375,18,0.0,0
322,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,1.46,60.0,7.953456536618754,1943.6873779296875,1,0.0,0
324,Active,Registration,Manifold,Natural Gas,Carbon Steel,12.0,1.79,60.0,7.953456536618754,2167.58935546875,1,0.0,0
331,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,18.03,60.0,7.953456536618754,2051.40625,1,0.0,0
335,Active,Registration,Well Site,Multiphase,Steel,10.0,1213.47,700.0,18.844626967830255,2138.695014105903,9,1.0,1
347,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,5.84,60.0,7.953456536618754,1943.4705810546875,1,0.0,0
421,Active,Registration,Manifold,Natural Gas,Fiberglass,6.0,1.74,60.0,7.953456536618754,1999.7135009765625,1,0.0,0
457,Active,Registration,Manifold,Natural Gas,Carbon Steel,2.0,14.74,60.0,7.953456536618754,2020.073486328125,1,0.0,0
470,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,4.21,60.0,7.953456536618754,2048.7783203125,1,0.0,0
484,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,1.65,60.0,7.953456536618754,1931.8583984375,1,0.0,0
500,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,2.01,60.0,7.953456536618754,2087.513916015625,1,0.0,0
550,Out of Service,Out of Service,Production Facilities,Multiphase,Carbon Steel,2.25,178.66,430.0,44.3066392881588,1544.2029418945312,2,0.0,0
575,Active,Registration,Manifold,Natural Gas,Fiberglass,4.0,3703.29,60.0,7.953456536618754,2037.2219132133152,23,0.0,0
594,Active,Registration,Manifold,Natural Gas,Carbon Steel,10.0,95.99,60.0,7.953456536618754,2132.95458984375,1,0.0,0
600,Active,Registration,Manifold,Natural Gas,Fiberglass,6.0,2833.8,60.0,7.953456536618754,2007.7060546875,17,0.0,0
611,Active,Registration,Manifold,Natural Gas,Fiberglass,6.0,2415.54,60.0,7.953456536618754,2045.5537923177083,15,0.0,0
631,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,2.27,60.0,7.953456536618754,2192.825439453125,1,0.0,0
635,Active,Registration,Compressor Station,Natural Gas,HDPE,4.5,39.42,91.6,24.16974674880219,2620.3948974609375,2,1.0,1
638,Active,Registration,Manifold,Natural Gas,Carbon Steel,16.0,2.67,60.0,7.953456536618754,1874.138916015625,1,0.0,0
644,Active,Registration,Manifold,Natural Gas,Carbon Steel,4.0,2.89,60.0,7.953456536618754,2071.439453125,1,0.0,0
670,Active,Registration,Production Facilities,Full Well Stream,Steel,2.0,689.05,3000.0,6.9021218343600275,1519.58857421875,5,0.0,0
